movie_name,movie_release_year,movie_runtime,movie_genre,imdb_rate,movie_meta_score,movie_gross_val,movie_votes
Bullet Train,2022,127,"Action, Comedy, Thriller",7.3,49,,161649
Hocus Pocus,1993,96 ,"Comedy, Family, Fantasy",6.9,43,$39.51M,141375
Hocus Pocus 2,2022,103,"Comedy, Family, Fantasy",6.0,56,,39946
Everything Everywhere All at Once,2022,139,"Action, Adventure, Comedy",8.1,81,,230543
Thor: Love and Thunder,2022,118,"Action, Adventure, Comedy",6.4,57,,299671
Beetlejuice,1988,92 ,"Comedy, Fantasy",7.5,70,$73.71M,304528
Bodies Bodies Bodies,2022,94 ,"Comedy, Horror, Thriller",6.3,69,,26063
The Rocky Horror Picture Show,1975,100,"Comedy, Horror, Musical",7.4,65,$139.88M,153145
The Lost City,2022,112,"Action, Adventure, Comedy",6.1,60,,111567
The Goonies,1985,114,"Adventure, Comedy, Family",7.7,62,$61.50M,273837
Trick 'r Treat,2007,82 ,"Comedy, Horror",6.7,,,94741
DC League of Super-Pets,2022,105,"Animation, Action, Adventure",7.3,56,,59277
Ghostbusters,1984,105,"Action, Comedy, Fantasy",7.8,71,$238.63M,414680
Hubie Halloween,2020,103,"Comedy, Mystery",5.2,53,,51242
Casper,1995,100,"Comedy, Family, Fantasy",6.1,49,$100.33M,135592
Knives Out,2019,130,"Comedy, Crime, Drama",7.9,82,$165.36M,618745
The Addams Family,1991,99 ,"Comedy, Fantasy",6.9,57,$113.50M,157233
Practical Magic,1998,104,"Comedy, Drama, Fantasy",6.2,46,$46.68M,83960
Ghostbusters: Afterlife,2021,124,"Adventure, Comedy, Fantasy",7.1,45,$129.36M,179460
Do Revenge,2022,118,Comedy,6.3,66,,31622
The Unbearable Weight of Massive Talent,2022,107,"Action, Comedy, Crime",7.0,68,,78752
The Wolf of Wall Street,2013,180,"Biography, Comedy, Crime",8.2,75,$116.90M,1392400
Sing 2,2021,110,"Animation, Adventure, Comedy",7.4,49,$162.79M,67395
Once Upon a Time in Hollywood,2019,161,"Comedy, Drama",7.6,83,$142.50M,726790
Back to the Future,1985,116,"Adventure, Comedy, Sci-Fi",8.5,87,$210.61M,1194681
In Bruges,2008,107,"Comedy, Crime, Drama",7.9,67,$7.76M,425153
Licorice Pizza,2021,133,"Comedy, Drama, Romance",7.2,90,,110408
Shazam!,2019,132,"Action, Adventure, Comedy",7.0,71,$140.37M,334808
The Lost Boys,1987,97 ,"Comedy, Horror",7.2,63,$32.22M,145036
The Suicide Squad,2021,132,"Action, Adventure, Comedy",7.2,72,$55.82M,346575
Scooby-Doo,2002,86 ,"Adventure, Comedy, Family",5.2,35,$153.29M,114305
The Gentlemen,2019,113,"Action, Comedy, Crime",7.8,51,$36.47M,335633
Pinocchio,I) (,105,"Adventure, Comedy, Drama",5.1,38,,30450
Day Shift,2022,113,"Action, Comedy, Fantasy",6.1,51,,71483
Sing,2016,108,"Animation, Comedy, Family",7.1,59,$270.40M,170172
Scary Movie,2000,88 ,Comedy,6.2,48,$157.02M,262154
Little Shop of Horrors,1986,94 ,"Comedy, Horror, Musical",7.1,81,$38.75M,77615
Young Frankenstein,1974,106,Comedy,8.0,80,$86.30M,159018
Mean Girls,2004,97 ,Comedy,7.1,66,$86.06M,383940
Tusk,I) (,102,"Comedy, Horror",5.3,55,$1.82M,54684
Kick-Ass,2010,117,"Action, Comedy, Crime",7.6,66,$48.07M,562587
Minions: The Rise of Gru,2022,87 ,"Animation, Adventure, Comedy",6.6,56,,59672
Jennifer's Body,2009,102,"Comedy, Horror",5.4,47,$16.20M,136008
Addams Family Values,1993,94 ,"Comedy, Fantasy",6.8,61,$48.92M,94854
Ant-Man,2015,117,"Action, Adventure, Comedy",7.3,64,$180.20M,662783
Don't Look Up,2021,138,"Comedy, Drama, Sci-Fi",7.2,49,,530468
Free Guy,2021,115,"Action, Adventure, Comedy",7.1,62,$121.63M,364890
Hotel Transylvania,2012,91 ,"Animation, Adventure, Comedy",7.0,47,$148.31M,256217
10 Things I Hate About You,1999,97 ,"Comedy, Drama, Romance",7.3,70,$38.18M,342110
Coco,I) (,105,"Animation, Adventure, Comedy",8.4,81,$209.73M,501429
American Pie,1999,95 ,Comedy,7.0,58,$102.56M,407285
Encanto,2021,102,"Animation, Comedy, Family",7.2,75,$96.09M,217369
Laal Singh Chaddha,2022,159,"Comedy, Drama, Romance",5.4,46,,171071
Fresh,2022,114,"Comedy, Horror, Thriller",6.7,67,,52482
Clueless,1995,97 ,"Comedy, Romance",6.9,68,$56.63M,218709
Guardians of the Galaxy,2014,121,"Action, Adventure, Comedy",8.0,76,$333.18M,1170480
Gremlins,1984,106,"Comedy, Fantasy, Horror",7.3,70,$148.17M,224737
Monster House,2006,91 ,"Animation, Comedy, Family",6.6,68,$73.66M,121379
Deadpool,2016,108,"Action, Adventure, Comedy",8.0,65,$363.07M,1029776
The Big Lebowski,1998,117,"Comedy, Crime",8.1,71,$17.50M,805380
Ready or Not,I) (,95 ,"Action, Comedy, Horror",6.8,64,$28.71M,151020
An American Werewolf in London,1981,97 ,"Comedy, Horror",7.5,55,$30.57M,108588
Jojo Rabbit,2019,108,"Comedy, Drama, War",7.9,58,$0.35M,385524
Deadpool 2,2018,119,"Action, Adventure, Comedy",7.7,66,$324.59M,577852
Sonic the Hedgehog 2,2022,122,"Action, Adventure, Comedy",6.5,47,,63714
The Bad Guys,2022,100,"Animation, Adventure, Comedy",6.8,64,,36024
This Is 40,2012,134,"Comedy, Drama, Romance",6.2,59,$67.54M,142123
The Haunted Mansion,2003,88 ,"Comedy, Family, Fantasy",5.1,34,$75.85M,50002
The Grand Budapest Hotel,2014,99 ,"Adventure, Comedy, Crime",8.1,88,$59.10M,803167
Matilda,1996,102,"Comedy, Family, Fantasy",6.9,72,$33.08M,152649
Ant-Man and the Wasp,2018,118,"Action, Adventure, Comedy",7.0,70,$216.65M,399136
The Worst Person in the World,2021,128,"Comedy, Drama, Romance",7.8,90,,63676
"Three Billboards Outside Ebbing, Missouri",2017,115,"Comedy, Crime, Drama",8.1,88,$54.51M,503750
Fright Night,2011,106,"Comedy, Horror",6.4,64,$18.30M,107822
Love Actually,2003,135,"Comedy, Drama, Romance",7.6,55,$59.70M,479711
About Time,I) (,110,"Comedy, Drama, Fantasy",7.8,55,$15.32M,349230
CODA,2021,111,"Comedy, Drama, Music",8.0,74,,129435
Home Alone,1990,103,"Comedy, Family",7.7,63,$285.76M,564465
Death Becomes Her,1992,104,"Comedy, Fantasy, Horror",6.6,56,$58.42M,120295
Grease,1978,110,"Comedy, Musical, Romance",7.2,70,$188.76M,276717
Tucker and Dale vs Evil,2010,89 ,"Comedy, Horror",7.5,65,$0.22M,180938
Cruella,2021,134,"Adventure, Comedy, Crime",7.3,59,$86.10M,232289
Ghostbusters,2016,117,"Action, Comedy, Fantasy",6.9,60,$128.34M,232267
The Addams Family,2019,86 ,"Animation, Comedy, Family",5.8,46,$100.04M,39748
The Square,2017,151,"Comedy, Drama",7.2,73,$1.50M,65444
Spy Kids 3: Game Over,2003,84 ,"Action, Adventure, Comedy",4.3,57,$111.76M,61014
Hustle,2022,117,"Comedy, Drama, Sport",7.3,68,,115446
The French Dispatch,2021,107,"Comedy, Drama, Romance",7.2,74,,119534
The Adam Project,2022,106,"Action, Adventure, Comedy",6.7,55,,197163
Dog,I) (,101,"Comedy, Drama",6.5,61,,33148
A Christmas Story,1983,93 ,"Comedy, Family",7.9,77,$20.61M,148228
Snatch,2000,102,"Comedy, Crime",8.2,55,$30.33M,852597
Army of Darkness,1992,81 ,"Comedy, Horror",7.4,59,$11.50M,179159
Me Time,2022,101,Comedy,5.0,25,,30452
Scream 4,2011,111,"Comedy, Horror, Mystery",6.2,52,$38.18M,150555
The Breakfast Club,1985,97 ,"Comedy, Drama",7.8,66,$45.88M,397928
Kingsman: The Secret Service,2014,129,"Action, Adventure, Comedy",7.7,60,$128.26M,665365
Mars Attacks!,1996,106,"Comedy, Sci-Fi",6.4,52,$37.77M,228636
Jumanji: Welcome to the Jungle,2017,119,"Action, Adventure, Comedy",6.9,58,$404.52M,379045
Napoleon Dynamite,2004,96 ,Comedy,6.9,64,$44.54M,220579
